Seller Platfrom,Seller SKU,Manufacturer Name,Manufacturer Code,Product Title,Description,Packaging,QTY,Catagory,Sub Catagory,Product Page URL,Attachment URL,Images URL
Dental City,66-136,Dentsply Sirona,51116,Articadent 4% W/ Epinephrine 1:100 Articaine 50/Box 51116,"DENTSPLY Articadent® Local Anesthesia is excellent when you need a local, infiltrative, or conductive anesthesia in both single and complex dental procedures. 4% Articadent with epinephrine 1:100,000 (gold box) is preferred during operative or surgical procedures when improved visualization of the surgical field is desired.Features include: Onset of 1-9 minutes in infiltration and nerve blocks.  Average pulpal duration of approximately 1 hour in infiltration and approximately 2 hours for nerve blocks. Latex-free blister tray protects cartridges from breakage. Siliconized plunger allows for smooth movement and precise control. The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects. Aspiration prior to injection is recommende Item includes: 50 x 1.7mL Cartridges. DENTSPLY ensures quality at each step of the produc",Box ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-articadent-dental-4-1100?66-136,https://www.dentalcity.com/MSDS/66-136.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19311-SkuImage.jpg
Dental City,66-163,Dentsply Sirona,48816,Citanest Forte 4% W/ Epi Prilocaine 50/Box 48816,"DENTSPLY 4% Citanest® Forte Dental with Epinephrine 1:200,000 (Prilocaine HCl and Epinephrine Injection, USP) is a reliable anesthetic for both infiltration and nerve block techniques. It prevents less toxicity in the system than other amide base local anesthetics and exits the circulation faster than most of the other local anesthetics.Features include: Rapid onset of around 2 minutes during infiltration with average soft tissue anesthesia of approximately 2 1/3 hours.In case of inferior alveolar nerve block the onset duration is less than 3 minutes while soft tissue anesthesia lasts for 3 hours.Cartridges are packed in unique blister trays, which minimize the risk of breakage.Cartridges feature siliconized plungers which allow for easy, smooth movement.Latex free.Available in boxes of 50 1.8ml cartridges DENTSPLY ensures quality at each step of the produc",Box ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-citanest-forte-4?66-163,https://www.dentalcity.com/MSDS/66-163.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19319-SkuImage.jpg
Dental City,66-169,Dentsply Sirona,20016,Xylocaine 1:100 Red Lidocaine 50/Pack 20016,"DENTSPLY Xylocaine Lidocaine HCI and Epinephrine Injection, USP, is a reliable anesthetic for the majority of dental procedures. A number of features and benefits make it a choice of dentists everywhere.Features include: Rapid onset of 2-4 minutes in infiltraion and mandibular nerve blocks.Average pulpal duration of 55-65 minutes in infiltraion and 80-90 minutes in mandibular nerve blocks.Average soft-tissue duration of 2.5 hours in infiltration and 3 to 3.25 hrs. for nerve blocks.Cartridges are packed in unique blister trays which minimize the risk of breakage.Cartridges feature siliconized plungers which allow for smooth movement and precise control.The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects.Latex free.Available in boxes of 50 cartridges of 1.7 ml. DENTSPLY ensures quality at each step of the produc",Pack ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-xylocaine-1100-2-red-lidocaine-50pack?66-169,https://www.dentalcity.com/MSDS/66-169.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19321-SkuImage.jpg
Dental City,66-160,Dentsply Sirona,34416,Polocaine 3% Plain Mepivicaine 50/Pack 34416,"3% Polocaine® DENTAL (Mepivicaine HCl Injection, USP) from Dentsply Sirona is a local dental anesthetic for nerve block and infiltration.Features include: Rapid onset time of 30 - 120 seconds. Duration: 20 minutes for infiltration & 40 minutes for nerve block. No vasoconstrictor. Cartridges have siliconized plungers for smoother and more precise injections. Cartridges packaged in blister trays to prevent cross contamination Item includes: 50 Cartridges. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item.",Pack ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-polocaine-3?66-160,https://www.dentalcity.com/MSDS/66-160.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19318-SkuImage.jpg
Dental City,66-177,Septodont,01-A1050,"Lignospan Forte 1:50,000 2% Green Lidocaine 01-A1050","Lignospan® Forte is a Lidocaine HCI 2% and Epinephrine 1:50,000 Injection, USP. It provides local dental anesthesia by nerve block or infiltration. It should be used when more pronounced hemostasis is required. Lignospan when used for infiltration will have an average onset time of less than two minutes and duration of about 60 minutes. When used for nerve blocks the average onset time is 2 to 4 minutes and will provide about 90 minutes of pulpal anesthesia.Features Include:No-methylparaben formulation to avoid allergic reactions on sensitive patients100 percent latex free components to help reduce allergic responsesTerminal sterilization of product/cartridges for safe useMylar label covered glass cartridges to minimize risk of wound in the event of a cartridge breakageCartridges packed 10 to a blister tray to avoid glass to glass contact, hence reducing breakageBox containing 5 blisters of 10 x 1.7 ml glass cartridges1:50,000 injectionUSP, contains 2% EpinephrineThis product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",,,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-lignospan-forte-150000-2-green-lidocaine?66-177,https://www.dentalcity.com/MSDS/66-177.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19324-SkuImage.jpg
Dental City,66-137,Dentsply Sirona,52216,Articadent 4% W/ Epinephrine 1:200 Articaine 50/Box 52216,"Dentsply Sirona 4% Articaine with Epinephrine 1:200,000 (articaine HCI 4% with epinephrine 1:200,000 injection) Onset of less than 10 minutes in infiltration and nerve blocks.Average pulpal duration of approximately 1 hour for infiltration and up to 2 hours for nerve blocks.Provides improved visualization of the surgical field during operative and surgical procedures.Latex-free.Blister tray protects cartridges from breakage.Siliconized plunger allows for smooth movement and precise control.The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects.Aspiration prior to injection is recommended. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Box ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-articadent-dental-4-1200?66-137,https://www.dentalcity.com/MSDS/66-136.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19312-SkuImage.jpg
Dental City,66-99210,Septodont,99210,OraVerse 10/Pack 99210,"Septodont OraVerse® anesthesia reversal agent by Septodont is a breakthrough product that reverses unwanted lingering numbness after routine dental procedures where a local anesthetic containing a vasoconstrictor was used. It is indicated for reversal of soft-tissue anesthesia.In clinical trials, the median time to recovery of normal sensation in the upper lip was 50 minutes for OraVerse patients vs. 133 minutes for the control group; in addition, the lower lip was 70 minutes recovery for OraVerse patients vs. 155 minutes for the control. OraVerse helps patients quickly be able to smile, speak, and drink liquids after procedures, as well as minimizes drooling.Features Include: Phentolamine mesylate injection.Patients should be at least 6 years old and weigh 33 pounds (not recommended for children less than 3 years old).Great for teachers, sales professionals, and medical office personnel.Allows diabetics to stay on their eating schedule.First and only local anesthesia reversal agent. This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Pack ,10,Anesthetics,Injectable,https://www.dentalcity.com//925/septodont-oraverse?66-99210,https://www.dentalcity.com/MSDS/66-99210.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19426-SkuImage.jpg
Dental City,66-164,Dentsply Sirona,22216,Xylocaine 1:50 Green Lidocaine 50/Pack 22216,"Dentsply Sirona Xylocaine Lidocaine HCI 2% Epinephrine 1:50,000 Green 1.7mL Injection Rapid onset of 2-4 minutes in infiltration and mandibular nerve blocks.Average pulpal duration of 55-65 minutes in infiltration and 80-90 minutes in mandibular nerve blocks.Average soft-tissue duration of 2.5 hours in infiltration and 3 to 3.25 hours for nerve blocks.Cartridges are packed in unique blister trays which minimize the risk of breakage.Cartridges feature siliconized plungers which allow for smooth movement and precise control.The lowest dosage that results in effective anesthesia should be used to avoid high plasma levels and serious adverse effects.50/box This product is a prescription drug and requires your State License Number to be on file with Dental City before you can purchase this item",Pack ,50,Anesthetics,Injectable,https://www.dentalcity.com//712/dentsply-sirona-xylocaine-150-2-green-lidocaine-50pack?66-164,https://www.dentalcity.com/MSDS/66-169.pdf,https://www.dentalcity.com/CatalogImages/DENLN/19-19320-SkuImage.jpg
Dental City,66-1048022,Premier,1048022,Anesthetic Cartridge Warmer Bulb 1048022,"This cartridge dispenser and warmer is made of white, high-impact polystyrene and holds up to 60 cartridges. The time-saving delivery system also keeps cartridges warm with 110 volts, and can stand alone",,,Anesthetics,Injectable,https://www.dentalcity.com//888/premier-anesthetic-cartridge-warmer-bulb?66-1048022, ,https://www.dentalcity.com/CatalogImages/DENLN/19-19279-SkuImage.jpg
Dental City,66-1048021,Premier,1048021,Anesthetic Cartridge Holder 1048021,"This cartridge dispenser and warmer is made of white, high-impact polystyrene and holds up to 60 cartridges. The time-saving delivery system also keeps cartridges warm with 110 volts, and can stand alone",,,Anesthetics,Injectable,https://www.dentalcity.com//888/premier-anesthetic-cartridge-dispenser-and-warmer?66-1048021, ,https://www.dentalcity.com/CatalogImages/DENLN/19-19278-SkuImage.jpg
Dental City,66-1410,Plasdent,1410,Anesthetic Cartridge Dispenser 1410,"Plasdent Anesthetic Cartridge Holder (Dispenser). Holds 50 anesthetic cartridges.Dimensions: 3"" H x 3.5"" Diameter. ",,,Anesthetics,Injectable,https://www.dentalcity.com//886/plasdent-anesthetic-cartridge-dispenser?66-1410, ,https://www.dentalcity.com/CatalogImages/DENLN/19-19315-SkuImage.jpg
Dental City,66-404301,Vista Apex,404301,Syringe Warmer 5cc/6cc Vista 404301,"This syringe warmer ensures a safe and warm delivery to a surgical site. Able to carry anesthetics or irrigating medicaments, it heats up to 130 degrees Fahrenheit. However, the cool-touch technology housing remains comfortable to touch, nor will it heat other metal surfaces.2 additional tip recapping slotsFinger grip side slotsChoose between 6cc and 12cc sizes110V or 220VCool touch technolog",,,Anesthetics,Injectable,https://www.dentalcity.com//982/vista-apex-syringe-warmer?66-404301, ,https://www.dentalcity.com/CatalogImages/DENLN/19-19354-SkuImage.jpg
Dental City,95-600059,Addent,600059,Calset Anesthetic Tray 600059,,,,Anesthetics,Injectable,https://www.dentalcity.com//610/addent-calset-anesthetic-tray?95-600059, ,https://www.dentalcity.com/CatalogImages/DENLN/19-51743-SkuImage.jpg
Dental City,66-090M,Dental City,66-090M,Dental City Topical Gel Mint,"Dental City Topical Anesthetic Gel contains 20% benzocaine for fast-acting relief and no systemic absorption. Its use is ideal for local injections, periodontal work, curettage, taking impressions, scaling, intra-oral radiographs, root planning and prophylaxis, as well as minor mouth irritations, wounds and ulcers. Our anesthesia gel is available in 9 flavors: banana, bubble gum, cherry, grape, mango, mint, pina colada, raspberry and strawberry.Features include: Fast-acting. No bitter aftertaste. 1oz. easy-use bottles. 9 flavors to choose from. Gluten free formula Item includes: 1oz. Bottle. Use the dropdown menu to select your desired flavor.Click to view allergen information",,,Anesthetics,Topicals,https://www.dentalcity.com//702/dental-city-topical-gel?66-090M,https://www.dentalcity.com/MSDS/66-090.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image2.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image3.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image4.jpg']"
Dental City,66-090ST,Dental City,66-090ST,Dental City Topical Gel Strawberry,"Dental City Topical Anesthetic Gel contains 20% benzocaine for fast-acting relief and no systemic absorption. Its use is ideal for local injections, periodontal work, curettage, taking impressions, scaling, intra-oral radiographs, root planning and prophylaxis, as well as minor mouth irritations, wounds and ulcers. Our anesthesia gel is available in 9 flavors: banana, bubble gum, cherry, grape, mango, mint, pina colada, raspberry and strawberry.Features include: Fast-acting. No bitter aftertaste. 1oz. easy-use bottles. 9 flavors to choose from. Gluten free formula Item includes: 1oz. Bottle. Use the dropdown menu to select your desired flavor.Click to view allergen information",,,Anesthetics,Topicals,https://www.dentalcity.com//702/dental-city-topical-gel?66-090ST,https://www.dentalcity.com/MSDS/66-090.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image2.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image3.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image4.jpg']"
Dental City,66-090BG,Dental City,66-090BG,Dental City Topical Gel Bubblegum,"Dental City Topical Anesthetic Gel contains 20% benzocaine for fast-acting relief and no systemic absorption. Its use is ideal for local injections, periodontal work, curettage, taking impressions, scaling, intra-oral radiographs, root planning and prophylaxis, as well as minor mouth irritations, wounds and ulcers. Our anesthesia gel is available in 9 flavors: banana, bubble gum, cherry, grape, mango, mint, pina colada, raspberry and strawberry.Features include: Fast-acting. No bitter aftertaste. 1oz. easy-use bottles. 9 flavors to choose from. Gluten free formula Item includes: 1oz. Bottle. Use the dropdown menu to select your desired flavor.Click to view allergen information",,,Anesthetics,Topicals,https://www.dentalcity.com//702/dental-city-topical-gel?66-090BG,https://www.dentalcity.com/MSDS/66-090.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image2.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image3.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image4.jpg']"
Dental City,66-090CH,Dental City,66-090CH,Dental City Topical Gel Cherry,"Dental City Topical Anesthetic Gel contains 20% benzocaine for fast-acting relief and no systemic absorption. Its use is ideal for local injections, periodontal work, curettage, taking impressions, scaling, intra-oral radiographs, root planning and prophylaxis, as well as minor mouth irritations, wounds and ulcers. Our anesthesia gel is available in 9 flavors: banana, bubble gum, cherry, grape, mango, mint, pina colada, raspberry and strawberry.Features include: Fast-acting. No bitter aftertaste. 1oz. easy-use bottles. 9 flavors to choose from. Gluten free formula Item includes: 1oz. Bottle. Use the dropdown menu to select your desired flavor.Click to view allergen information",,,Anesthetics,Topicals,https://www.dentalcity.com//702/dental-city-topical-gel?66-090CH,https://www.dentalcity.com/MSDS/66-090.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image2.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image3.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image4.jpg']"
Dental City,66-090PC,Dental City,66-090PC,Dental City Topical Gel Pina Colada,"Dental City Topical Anesthetic Gel contains 20% benzocaine for fast-acting relief and no systemic absorption. Its use is ideal for local injections, periodontal work, curettage, taking impressions, scaling, intra-oral radiographs, root planning and prophylaxis, as well as minor mouth irritations, wounds and ulcers. Our anesthesia gel is available in 9 flavors: banana, bubble gum, cherry, grape, mango, mint, pina colada, raspberry and strawberry.Features include: Fast-acting. No bitter aftertaste. 1oz. easy-use bottles. 9 flavors to choose from. Gluten free formula Item includes: 1oz. Bottle. Use the dropdown menu to select your desired flavor.Click to view allergen information",,,Anesthetics,Topicals,https://www.dentalcity.com//702/dental-city-topical-gel?66-090PC,https://www.dentalcity.com/MSDS/66-090.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image2.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image3.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image4.jpg']"
Dental City,66-090RB,Dental City,66-090RB,Dental City Topical Gel Raspberry,"Dental City Topical Anesthetic Gel contains 20% benzocaine for fast-acting relief and no systemic absorption. Its use is ideal for local injections, periodontal work, curettage, taking impressions, scaling, intra-oral radiographs, root planning and prophylaxis, as well as minor mouth irritations, wounds and ulcers. Our anesthesia gel is available in 9 flavors: banana, bubble gum, cherry, grape, mango, mint, pina colada, raspberry and strawberry.Features include: Fast-acting. No bitter aftertaste. 1oz. easy-use bottles. 9 flavors to choose from. Gluten free formula Item includes: 1oz. Bottle. Use the dropdown menu to select your desired flavor.Click to view allergen information",,,Anesthetics,Topicals,https://www.dentalcity.com//702/dental-city-topical-gel?66-090RB,https://www.dentalcity.com/MSDS/66-090.pdf,"['https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image1.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image2.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image3.jpg', 'https://www.dentalcity.com/CatalogImages/DENLN/19-19261-SKU_Image4.jpg']"
